敝绨恶粟,敝衣粝食
粗心大意,粗心浮气
东奔西跑,东跑西奔
天职,本分
俯拾即是,比比皆是
耳闻目染,耳濡目染
同等看待,等量齐观
成立,诞生
发愤图强,奋发有为
抬举,提拔
怵目惊心,胆战心惊
废弛,败坏
叮咛,叮属
雕镂,雕琢
逢场作乐,逢场作趣
出格,特别
粗拙,粗造
体会,体味
低头折节,卑躬屈膝
沉溺,耽溺
誊写,钞缮
暴躁,浮躁
掂斤估两,掂斤播两
唇齿相依,巢毁卵破
半间不界,半间半界
天理难容,天诛地灭
包含,包括
呆板,呆滞
天长地久,长此以往
法则,端正
同伙,同盟
负气,赌气
差错,舛讹
操心,费神
乘坚策肥,乘坚驱良
变装,扮装
保举,推荐
凋残,雕残
发达,昌盛
剔透,彻亮
粗疏,粗糙
俯首听命,俯首贴耳
弊衣疏食,弊衣箪食
不冷不热,不温不火
畅通,通顺
通时达务,通权达变
不落窠臼,别具匠心
揣摸,猜度
出席,到场
发问,提问
大举,大力
大概,大要
仇视,敌对
登时,顿时
不可,不成
天塌地陷,天摧地塌
称号,称谓
不够,不足
雕虫小技,雕虫末伎
出色,特出
废止,废除
风仪,风采
多一事不如少一事,多一事不如省一事
恩断义绝,恩断意绝
贪污腐化,贪赃枉法
探骊得珠,探骊获珠
凋零,腐朽
打斗,斗殴
反常,颠倒
天旋地转,头晕目眩
波折,防碍
惨不忍闻,惨绝人寰
抟空捕影,捕风捉影
腐烂,腐朽
复宗绝嗣,覆宗灭祀
大刀阔斧,大刀阔斧
缠夹不清,缠杂不清
敷衍了事,敷衍塞责
台甫,大名
处理,处罚
得陇望蜀,贪猥无厌
拆台,捣蛋
堕泪,抽泣
天平地安,风调雨顺
悼惜,痛悼
粗劣,粗糙
部队,队伍
崇拜,推崇
仓卒,仓猝
出乎意料,突出其来
反躬自省,反躬自问
团圆,团聚
布置,陈设
反响,反映
趁火打劫,趁人之危
粗犷,粗暴
堕落,腐化
头梢自领,头稍自领
奔轶,奔逸
大失所望,悲从中来
听命,服从
烦恼,烦躁
天下无敌,天下第一
不失毫厘,不差毫厘
大权独揽,独断专行
察访,查访
不期而会,不期而遇
天井,庭院
同宗,同族
胆大包天,胆大如斗
恩典,恩泽
不胜枚举,不计其数
投隙抵巇,投隙抵罅
储积,补偿
悲伤,颓废
抵赖,推托
丰功懿德,丰功茂德
本支百世,本枝百世
刀笔,词讼
豺狼塞路,豺狼横道
博闻强志,博闻强识
饭铺,饭馆
倒戈一击,倒打一耙
洞幽烛微,洞隐烛微
不合时宜,不合时尚
笨鸟先飞,跛鳖千里
分袂,辨别
肥沃,肥饶
刀山剑树,刀山火海
担搁,耽搁
地覆天翻,天崩地裂
白鱼入舟,白鱼登舟
天禀,天赋
杯中蛇影,杯影蛇弓
父老,长者
誊写,钞写
滴水不漏,颠扑不破
风言风语,飞短流长
叹为观止,登峰造极
浮图,浮屠
放浪不拘,放浪无羁
怅然,痛惜
徜徉,逗留
刀下留人,刀下留情
不甘落后,不甘雌伏
惩办,惩罚
逃杨,逃禅
别出机杼,别出新裁
成千上万,不计其数
摈除,斥逐
场合,场地
偷偷摸摸,藏头露尾
胆战心慌,胆战心惊
粗壮,粗大
放浪,猖狂
半壁江山,豆剖瓜分
兵多将广,兵强将勇
簠簋不饰,簠簋之风
斑斓,灿烂
暴徒,歹徒
丁宁,叮属
参差不齐,错落有致
推度,推想
大言不惭,滔滔不绝
不停,不息
把酒持螯,持螯把酒
东扯西拉,东扯西拽
创办,创建
并辔齐驱,并驾齐驱
泛泛,通常
独树一帜,别具一格
除去,撤退
担任,负责
仇视,敌视
方位,场所
发作,发火
东南之宝,东南竹箭
倡导,提议
大吵大闹,畅叫扬疾
风姿绰约,风韵犹存
白头偕老,白头相守
痛斥,驳斥
反复无常,苍黄翻覆
东扶西倒,东歪西倒
地利人和,得天独厚
才具,才气
得过且过,粗制滥造
粗野,粗暴
倒持干戈,倒持泰阿
伏低做小,巴结奉承
承当,担负
动乱,动荡
拔萃出类,拔萃出类
辩别,分辩
倒行逆施,大逆不道
得病,抱病
分别,分手
唾地成文,脱口成章
拖延,逗留
杜门不出,韬光隐晦
大展宏图,大展经纶
不约而同,不谋而合
调动,调理
匆忙,匆急
发扬光大,阐扬光大
讨论,辩论
偷天换日,抽梁换柱
参加,插足
对换,对调
倒塌,崩塌
扶病,抱病
不矜不伐,不耻下问
笨嘴拙舌,笨嘴笨舌
铁案如山,铁证如山
纷纷扬扬,纷纷洋洋
宝物,宝贝
吩咐,打发
帮助,扶植
承受,承袭
不打不成相识,不打不相识
戴笠乘车,车笠之盟
闭门不出,韬匮藏珠
保卫,防守
颓丧,颓落
绰有余裕,绰绰有余
拔宅上升,拔宅飞升
闭门思过,闭门思愆
呆子,白痴
发人深省,发人深醒
不仅,不只
醇厚,醇朴
殚精极思,殚精极虑
促成,推进
不可告人,别有用心
铜城铁壁,铜墙铁壁
创剧痛深,创巨痛深
体贴入妙,体贴入妙
不拘一格,不落俗套
不明事理,不知轻重
多多益办,多多益善
防备,防止
头昏眼花,头昏脑眩
抱薪救火,负薪救火
发生,暴发
层见迭出,层出不穷
天地长久,天崩地裂
发卡,发夹
抵御,反抗
成效,成果
不断,不竭
突然,猝然
贩夫皂隶,贩夫走卒
村夫俗子,村夫野老
不安,但心
发傻,发姣
充塞,填塞
聪明才智,聪明智慧
摧残,荼毒
辩说,辩论
答应,订交
出何典记,出何经典
惩恶扬善,遏恶扬善
特征,特点
噩耗,噩讯
同舟而济,同舟共济
单人独马,单刀赴会
听其自然,听天由命
搪瓷,珐琅
不二法门,必由之路
通晓,通达
弹尽援绝,弹尽粮绝
天堂地狱,天壤之别
参与,到场
杜口,闭口
妇姑勃溪,妇姑勃溪
帮忙,帮衬
曾经沧海,饱经风霜
恶果,成果
点指画字,点纸画字
童衣,童装
鞭挞,鞭策
百死一生,逃出生天
炊臼之戚,炊臼之痛
凋落,雕零
不折不挠,不挠不折
表里相济,被山带河
不丰不杀,不多不少
凤友鸾交,凤友鸾谐
出言不逊,大吹大擂
大言不惭,大张其词
佛寺,梵刹
絺章饰句,絺绘章句
反响,反应
步兵,步卒
当机不断,迟疑不决
颠簸不破,颠扑不破
拔来报往,跋来报往
鞭辟入里,鞭辟近里
抬举,抬爱
打消,撤销
大发雷霆,大肆咆哮
忖度,忖测
报酬,酬报
繁荣兴旺,繁荣昌盛
动摇,迟疑
防御,防守
复杂,繁杂
探求,查办
不劳而获,不劳而食
充塞,充分
东山再起,大张旗鼓
出入无间,畅通无阻
驰骋,奔驰
倒果为因,本末倒置
停当,妥帖
败兴而归,败兴而返
得意,风景
刺骨,透骨
成亲,成婚
背城借一,背水一战
卑下,低下
不快,痛苦
偷活,贪生
戴天蹐地,戴清履浊
寸丝不挂,赤身露体
蜚短流长,飞流短长
恩惠,恩泽
防备,防范
兵慌马乱,兵连祸结
发憷,犯憷
冲突,顶牛
伐毛换髓,伐毛洗髓
韬光灭迹,韬迹隐智
表面功夫,表面文章
诚心,诚恳
腐蚀,腐化
费力,费劲
跋山涉水,风餐露宿
称心如意,踌躇满志
才华横溢,才高八斗
包罗,包括
丢盔卸甲,丢盔抛甲
百无一是,百无一用
甜头,长处
寸有所长,尺短寸长
凋射,凋谢
不可收拾,土崩瓦解
从军,投军
百僚,百寮
田父之功,田父之获
初生之犊不畏虎,初生牛犊不怕虎
推卸,推脱
嗤笑,嘲弄
停战,停火
戴月披星,带月披星
分列,布列
仿制,仿照
铁杵成针,铁杵磨针
超群拔萃,超群轶类
乘人之危,乘虚而入
贪求无厌,贪求无已
丢三落四,粗枝大叶
被坚执锐,被甲执锐
残杯冷炙,残羹冷炙
步行,步辇儿
耳食之论,耳食之谈
地址,地点
调停,调解
不屈,不服
登门谢罪,负荆请罪
发奋,奋发
哺糟歠漓,餔糟啜漓
变化莫测,变化无常
伏贴,妥善
恩仇,恩怨
不相上下,并行不悖
电扇,风扇
低眉顺眼,低首下心
同利相死,同恶相济
打倒,推倒
从容自如,从容不迫
不劣方头,不通时宜
饱经忧患,饱经风雨
奉为圭臬,奉若神明
凡是,通常
餐风宿草,餐风宿露
代办,代庖
拜谒,访问
不可限量,不可估量
大众,大家
得胜回朝,班师回朝
白衣卿相,白衣秀士
粗俗,鄙俗
同年而语,同日而言
本地,腹地
端方,端正
冲破,突破
推断,测度
参预,插足
低级,初级
韬声匿迹,韬神晦迹
不胜枚举,不可胜数
拖拖拉拉,拖泥带水
尺寸之地,尺山寸水
反朴还淳,反正还淳
戳穿,拆穿
大名鼎鼎,鼎鼎大名
大路,大道
怠忽,粗心
茶余酒后,茶余饭饱
妥贴,得当
处理,统治
不惭屋漏,不愧屋漏
德薄才疏,才疏学浅
福气,福泽
荡垢涤污,伐毛洗髓
不拘小节,不拘细节
搏斗,斗争
梯山航海,翻山越岭
贪婪无餍,贪残无厌
放弃,罢休
笨拙,迟钝
同时,同期
调换,退换
搬弄,摆布
东洋,东瀛
半上落下,半途而废
托付,拜托
毕命,毙命
拜见,拜访
倒楣,倒霉
法例,法规
东道之谊,地主之谊
放虎归山,放龙入海
边沿,边缘
负乘斯夺,负乘致寇
头昏眼花,头昏目眩
不知疼痒,不知痛痒
残虐,荼毒
不容置喙,不由分说
抱残守缺,陈陈相因
创制,创建
从头至尾,通首至尾
阐扬,发扬
扶危持倾,扶颠持危
出售,发卖
嘲笑,唾骂
特为,特别
推诿,推辞
代劳,代庖
储存,储蓄
冬温夏凊,冬温夏清
北辕适楚,背道而驰
错综复杂,错综相连
推命,推步
从天而降,突如其来
撤废,铲除
不死不活,半死不活
抵触,讨厌
逃脱,逃走
便当,方便
不修边幅,不护细行
贪杯,贪酒
操戈入室,操矛入室
笨重,粗重
八仙过海，各显其能,八仙过海，各显神通
道殣相属,道殣相望
大块文章,长篇大论
才气过人,才识过人
不明就里,不知就里
东徙西迁,东迁西徙
卑辞厚币,卑辞厚礼
负固不服,负阻不宾
发明,独创
八仙过海,大显神通
鼎峙,鼎立
惨无人道,豺狼成性
春和景明,风和日丽
诚信,诚实
恬淡,淡泊
撤除,退却
待人处事,待人接物
放恣,放荡
不苟言笑,宠辱不惊
泛论,畅谈
出尔反尔,翻云覆雨
反目成仇,反眼不识
妥当,妥善
床上叠床,床上施床
德薄能鲜,才疏学浅
才干,才能
才貌双全,才貌双绝
犯法,犯罪
从命,服从
璧还,退回
粉妆玉琢,粉装玉琢
充裕,充实
韬光用晦,韬光养晦
对于,对付
德容言功,德言工貌
风环雨鬓,风鬟雨鬓
沉着痛快,沉著痛快
不容分说,不容置疑
恩威并用,恩威并著
雕肝琢肾,雕肝镂肾
恩典,恩情
摆列,陈列
跳动,跳跃
出色,特殊
风雨如晦,风雨晦暝
待贾而沽,待价而沽
代替,包办
出言不逊,出口伤人
不吝指教,不吝珠玉
白头偕老,百年偕老
动弹,动掸
厄运,倒霉
乘风破浪,长风破浪
传杯换盏,传杯送盏
动身,登程
不雅,不雅观
天才,天赋
推三推四,推三阻四
充耳不闻,闭目塞听
不毛之地,寸草不生
贴近,逼近
天高听下,天高听卑
彻上彻下,彻里彻外
待时而举,待时而动
串连,串通
采兰赠芍,采兰赠药
东鳞西爪,残缺不全
筹办,筹备
沉浸,陶醉
跋前疐后,跋前踬后
恶衣菲食,恶衣薄食
土人,土着
绸缪,缠绵
地崩山摧,土崩瓦解
别籍异居,别籍异财
凋落,雕谢
才华,材干
推陈出新,推陈翻新
八公山上,杯弓蛇影
禀赋,赋性
动手,发端
掂斤抹两,掂斤播两
同流合污,通同作恶
宾客如云,宾客盈门
抱薪救火,把薪助火
吹垢索瘢,吹毛求疵
飞舞,飞行
退徙三舍,退避三舍
弊帚千金,弊帚自珍
大相径庭,大有迳庭
独揽,独霸
提防,防止
防不胜防,突如其来
报告,通知
得胜,成功
博闻强记,博览群书
地广人稀,地旷人稀
坦怀相待,推心致腹
覆巢倾卵,覆巢破卵
补助,辅助
吹毛索瘢,吹毛求疵
暴毙,猝死
东零西散,东零西碎
低劣,低装
多见,常见
不闻不问,闭目塞听
叨光,打扰
不拘小节,不修小节
苌弘化碧,苌弘碧血
乏味,蹩脚
怫郁,愤懑
避其锐气,避实击虚
存身,藏身
成千累万,成千论万
楚楚可怜,楚楚可爱
得寸进尺,贪猥无厌
听之任之,听其自流
拔类超群,超群拔类
通行,风行
同意,附和
躲避,躲闪
放弃,丢弃
斗劲,比力
东道主,东道主人
放荡不羁,荡检逾闲
仓促,匆匆
讨好,谄媚
辞谢,推辞
添枝加叶,添油加醋
天理难容,天理昭彰
苍翠,葱茏
察看,查看
踩踏,踹踏
出众,拔萃
停歇,停滞
颓败,颓靡
别离,分手
磋商,筹商
呆似木鸡,呆如木鸡
非同寻常,非同小可
大庭广众,大廷广众
凸起,突出
富商巨贾,富商蓄贾
谈虎色变,谭虎色变
寸善片长,寸长片善
缔结,订立
涕泣,涕零
从天而降,从天而下
方兴未艾,方滋未艾
得失相当,楚弓楚得
放手,罢休
称誉,称道
特性,特质
抵御,抵抗
纷乱,错乱
当立之年,而立之年
放任,放荡
额手相庆,额手称颂
超过,突出
贪婪官吏,贪官污吏
编纂,编辑
饱经忧患,沧海桑田
点缀,衬托
发纵指使,发纵指示
对于,对待
同心协力,同甘共苦
报答,酬报
奔波,奔忙
博学多闻,博洽多闻
伴同,伴随
分别,差异
搬家,搬迁
覆蕉寻鹿,复鹿遗蕉
推卸,辞让
兵戎相见,短兵相接
缝补,补缀
不惜,鄙弃
充满,填塞
诚心,赤心
诚心诚意,推心致腹
动人,动听
体系,体制
出现,呈现
返老归童,返老还童
徒有虚名,忝窃虚名
长命百岁,返老还童
倒退,退缩
丰润,丰满
陈恳,诚挚
八面玲珑,八面驶风
赌咒发誓,赌誓发愿
风味,风韵
采摘,采撷
反对,反驳
罢免,罢黜
暴徒,恶人
百举百全,百举百捷
蚌病成珠,蚌病生珠
跌宕不羁,跌荡不羁
变化多端,波云诡谲
不足为意,不足介意
风起云涌,风卷云涌
诋毁,诽谤
不朽,不灭
东主,店主
拂衣,拂袖
不破不立,除旧布新
谈吐,辞吐
单薄,菲薄
不声不响,不言不语
触物伤情,触目伤怀
出师,发兵
餐风沐雨,风餐露宿
不着边际,天花乱坠
拜候,探问
风马不接,风马牛不相及
低眉顺眼,百依百顺
荡然无存,荡然无遗
东征西讨,东讨西征
春暖花开,百花齐放
兜售,兜销
碑帖,碑本
饱经世变,饱经世故
悲痛欲绝,痛定思痛
托言,托词
反感,恶感
遁迹桑门,遁迹空门
凡是,但凡
调动,调度
不分皂白,不分青白
冲州撞府,冲州过府
唇揭齿寒,巢倾卵破
白龙微服,白龙鱼服
兵戎相见,刀兵相见
体现,表现
北鄙之声,北鄙之音
特意,特特
统帅,统领
付之一笑,嗤之以鼻
促使,敦促
饱经霜雪,饱经风霜
发愤,奋发
推却,辞让
部署,陈设
茶话会,谈话会
舛误,错误
烦琐,繁杂词语
谠言嘉论,谠言直声
储存,储备
二话不说,二话没说
飞觥献斝,飞觥走斝
天分,天生
大吵大闹,大呼小叫
浮生一梦,浮生若梦
撮土为香,撮土焚香
车马盈门,宾客盈门
不共戴天,不同戴天
创制,创设
停息,停滞
逃脱,脱逃
单丝不成线,独木不成林
扶养,抚养
畅饮,痛饮
嘟哝,嘟囔
防患未然,防患未萌
崇敬,推崇
柏舟之节,柏舟之誓
并肩而立,比肩而立
仇恨,仇隙
撤消,退却
半推半就,半真半假
停止,冻结
出口成章,出语成章
创立,创设
勃然变色,勃然大怒
筹办,筹划
服帖,服理
不相上下,分庭伉礼
半面之交,半面之识
风中之烛,风中残烛
跳班,跳级
田园,田野
天生地设,天生天化
放手,放纵
创造,创作
不可救疗,不可救药
承受,秉承
刁滑,刁钻
途径,道路
德高望尊,德高望重
梵呪,梵咒
复仇雪耻,报仇雪耻
停留,停驻
通行,大作
才智,才情
呆子,笨伯
词章,词翰
敦厚,淳厚
负俗之累,负俗之讥
推诚布信,推诚布公
场合,场面
编纂,编著
传布,传颂
反其道而行之,反治其身
本原,本源
仿效,仿造
补助,补贴
大意,粗心
备案,存案
胆大妄为,粗枝大叶
匆忙,匆匆中
富可敌国,富堪敌国
洞天福地,福地洞天
同心合力,同心并力
德才兼备,才高行洁
不可,弗成
惨无人道,惨无人理
推心置腹,贴心贴腹
飞鸿踏雪,飞鸿雪爪
愁眉不展,蹙额颦眉
颠覆,推倒
徒劳无益,敝鼓丧豚
出以公心,大公无私
头子,头领
大抵,大略
富裕,充实
腐臭,腐败
悲天悯人,愁肠百结
天真,纯真
分袂,辞别
编织,编造
探渊索珠,探骊获珠
堕落,出错
反经从权,反经行权
同心协力,通力合作
羝羊絓棘,羝羊触藩
成千上万,多如牛毛
唾面自干,犯而不校
差池,舛错
不及,不足
繁芜,错乱
分毫不爽,分毫无爽
创新,翻新
弹无虚发,百发百中
背井离乡,荡析离居
发布,颁布
同僚,同寅
倒果为因,颠倒是非
别有风味,别饶风趣
暴风骤雨,风雨如磐
多嘴,插嗫
不可同日而语,不可比拟
察看,查察
放荡不羁,放荡形骸
动乱,暴动
不置一词,不置可否
吐心吐胆,吐肝露胆
团员,团聚
反复无常,反复不定
铁杵成针,持之以恒
唾手可得,探囊取物
箪食瓢饮,粗茶淡饭
本子,簿子
退步,腐败
避实就虚,避难就易
悲啼,悲泣
副品,次品
奉侍,服侍
饿殍载道,饿莩载道
蜂拥而起,蜂拥而至
番来覆去,翻来覆去
病从口入,病由口入
承上启下,承先启后
分裂,分割
报复,报仇
愕然,诧异
楚才晋用,楚材晋用
统率,统领
分说,辩白
提防,防卫
同胞,同族
繁华,蕃昌
佛口蛇心,刀头之蜜
体系,编制
吃里扒外,吃里爬外
风吹浪打,风吹雨打
发屋,发廊
笔挺,笔直
促膝谈心,把臂而谈
昌隆,繁盛
保证,担保
风俗,风尚
蠢才,白痴
天从人愿,天随人愿
探望,探问
反面,背面
不易之论,天经地义
吐露,表示
打抱不平,抱打不平
嘟嘟哝哝,嘟嘟囔囔
恩义,恩德
不仅,不但
承上启下,承前启后
常年累月,长年累月
不知世务,不识时务
丰富,充分
探询,打听
吞没,沉没
褒衣博带,褒衣危冠
腹背受敌,表里受敌
反水不收,覆水难收
东征西讨,东冲西突
策动,策画
奉令惟谨,奉命唯谨
负才任气,负才使气
白晃晃,白茫茫
斗量车载,多如牛毛
吹大法螺,大吹法螺
分形共气,分形同气
提心吊胆,提心在口
迟缓,迟钝
丰产,丰收
独具匠心,别出新裁
不悦,不满
层见叠出,层见错出
藏形匿影,躲躲闪闪
听命,听从
摧枯折腐,摧枯拉腐
拜望,探访
出格,非常
抱瓮出灌,抱瓮灌园
冰炭不同器,冰炭不相容
犯得着,犯的上
唇枪舌剑,短兵相接
粉妆玉琢,粉妆玉砌
倒三颠四,颠三倒四
抵触,抵牾
愁眉锁眼,蹙额愁眉
甜言美语,甜语花言
大年夜,除夜
提纲挈领,提纲振领
臭不可当,臭不可闻
大直若屈,大直若屈
不可或缓,趁热打铁
发愤忘食,废寝忘食
抬高,提升
恬澹,淡泊
不尴不尬,不间不界
表扬,褒扬
背山起楼,背山造屋
统统,通通
处所,场所
冁然一笑,冁然而笑
乘鸾跨凤,乘鸾配凤
砥节奉公,砥节守公
不光,不只
道同义合,道同志合
白天,白昼
鲍鱼之次,鲍鱼之肆
触景伤情,触景生情
推翻,撤销
跌宕,跌荡
博学强记,博览群书
打消,裁撤
到达,抵达
超脱,超逸
复兴,复原
楚楚动人,楚楚可人
长生不老,反老还童
策动,打算
八面玲珑,八窗玲珑
奔跑,奔腾
出奇制胜,出奇致胜
荡漾,动荡
褫职,除名
吃白食,吃白饭
大方,标志
堆金叠玉,堆金积玉
悱恻缠绵,缠绵悱恻
带动,动员
多数,大批
唇亡齿寒,巢倾卵破
打定,打算
冬日可爱,冬日夏云
不同,差别
布被瓦器,粗茶淡饭
出言无状,恶语伤人
凑趣,逢迎
笨蛋,蠢人
儿歌,童谣
城门失火,城门鱼殃
停泊,泊岸
雕章琢句,雕章缋句
拨乱反正,拨云见天
讽刺,嘲讽
胆小如豆,胆小如鼷
本末颠倒,本末倒置
二八年华,豆蔻年华
天差地远,天悬地隔
超以象外,超然象外
痛之入骨,痛心入骨
恩威并济,恩威并行
啜泣,抽咽
暴乱,暴动
调治,调整
大胆,斗胆
拂拭,擦拭
耽延,耽搁
冲撞,冲犯
沉迷,陶醉
党羽,同党
次序,次第
别财异居,别籍异财
大约,大略
奉为圭臬,奉为楷模
残毁,残毁
发奋,奋勉
吐哺捉发,吐哺握发
富埒王侯,富有天下
颠倒黑白,颠倒是非
风流倜傥,风流跌宕
挺拔,特立
噩梦,恶梦
独吞,独占
分门别类,比物连类
天灾人祸,飞灾横祸
偷盗,盗窃
挺立,特立
促使,推动
土地,地盘
比肩系踵,比肩继踵
推延,推迟
避坑落井,避阱入坑
烦嚣,纷扰
不徐不疾,不疾不徐
多才多艺,多材多艺
繁芜,错杂
操心,费心
坍台,塌台
东奔西窜,东奔西逃
扼要,粗略
肤浅,菲薄
粉白黛绿,粉白黛黑
大势,大局
扶持,扶植
不识时变,不识时务
贪婪,贪念
变化无方,变幻莫测
道东说西,道西说东
擦掌磨拳,蠢蠢欲动
得罪,触犯
太奶奶,曾祖母
不见圭角,不露锋芒
刀耕火种,刀耕火耘
不甚了了,不知所以
福不重至,福无双至
发言,谈话
跋山涉水,奔走风尘
北门之管,北门管钥
雕肝琢膂,雕肝镂肾
畅所欲为,畅所欲言
宝刀不老,宝刀未老
财源,财路
遏制,遏止
不法,犯罪
博古通今,博学睿智
抚育,抚养
踌躇,迟疑
同宗,本家
挑三拨四,挑三豁四
打得火热,打成一片
分派,分配
长篇大套,长篇大论
差距,差别
等第,等级
胆大心小,胆大心细
投机取巧,投机钻营
吊丧,吊祭
单薄,薄弱
东窗事发,图穷匕见
拖拉,拖沓
弹指之间,电光石火
初试锋芒,初露锋芒
别具只眼,独具慧眼
添补,填充
传递,通报
逞强好胜,逞强称能
擦拳磨掌,蠢蠢欲动
尺度,标准
倡始,提倡
砥砺名节,砥砺清节
残落,凋谢
发怒,愤怒
独具匠心,独出心裁
飞砂走石,飞砂转石
凤凰于飞,夫唱妇随
处之怡然,处之晏然
窜匿,逃避
恬不知羞,恬不知耻
大快人心,痛快淋漓
法式,程序
不由自主,城下之盟
断圭碎璧,断缣零璧
吊唁,悼念
创痍满目,疮痍满目
唾手可得,唾手可取
曾经沧桑,饱经沧桑
别开生面,独出新裁
箪瓢屡空,箪瓢陋巷
不屑一顾,不念旧恶
防地,防线
拆字,测字
